Date,xlf,xly,xlp,xlb,xlu,xlk,xle,xli,xlv
2000-01-03,16.365901,24.696564,15.768092,17.586628,15.035041,45.77244,19.839451,21.416163,24.059229
2000-01-04,15.650452,23.953617,15.324077,17.417322,14.581511,43.450275,19.466003,20.824497,23.513275
2000-01-05,15.52748,23.659005,15.594817,18.136871,14.949475,42.80523,19.979494,20.731685,23.302333
2000-01-06,16.209396,23.927998,15.887223,18.602462,14.9238,41.386129,20.749732,21.010119,23.376782
2000-01-07,16.47769,25.055227,16.894385,18.591876,15.052161,42.10858,20.971463,21.81061,23.662171
2000-01-10,16.187038,24.927133,16.51534,18.528394,15.103498,43.708294,20.796413,21.81061,26.081738
2000-01-11,15.918745,24.786234,16.51534,18.306177,14.940914,42.469806,20.819753,21.532177,25.386887
2000-01-12,16.231754,24.645326,16.601978,18.041633,14.786884,42.289193,20.726391,21.276946,24.965013
2000-01-13,16.723625,24.77342,16.688616,18.115708,14.649969,42.676221,21.088174,21.682991,25.709497
2000-01-14,17.114891,24.709368,16.742768,17.988729,14.76977,43.65669,20.959797,21.532177,25.486151
2000-01-18,16.544763,24.568469,16.461195,17.554887,14.709872,43.888906,21.216542,21.508974,25.014645
2000-01-19,16.488873,24.517232,16.580326,17.216275,14.718426,43.966312,21.146521,21.439366,25.610232
2000-01-20,16.187038,24.184187,16.352898,16.761263,14.786884,44.22433,21.146521,21.300149,25.411703
2000-01-21,15.985818,23.684615,16.168788,16.835338,15.266089,44.275934,21.730034,21.033313,25.362071
2000-01-24,15.695167,22.800769,15.703114,16.390902,15.060715,42.831032,20.959797,20.430041,24.605184
2000-01-25,15.862855,22.941678,15.508179,16.08404,14.709872,43.747,20.913116,20.314035,24.778888
2000-01-26,16.455332,23.108195,15.648961,16.08404,14.641415,42.314995,20.586348,20.476446,24.66722
2000-01-27,16.634194,23.044153,15.941368,16.168693,14.547282,41.902166,20.166219,20.592469,24.518323
2000-01-28,16.052892,22.134679,15.811411,15.893571,14.47027,40.40566,19.932813,20.047199,24.022001
2000-01-31,16.500047,22.301197,16.103818,15.798333,15.137727,41.747355,20.399624,20.186416,23.910333
2000-02-01,16.589479,23.108195,15.941368,16.08404,15.026486,42.624617,20.352943,20.047199,24.22053
2000-02-02,16.421791,22.954482,15.973861,16.158115,14.949475,42.934239,20.48132,20.058796,24.816116
2000-02-03,16.321185,23.044153,15.757266,15.882985,14.9238,44.172727,20.23624,20.047199,25.039461
2000-02-04,16.153498,23.00572,15.746433,15.86183,14.846788,44.688763,19.652727,20.128413,25.126313
2000-02-07,15.985818,22.518962,15.724773,15.55496,14.803999,45.2048,19.874466,19.780363,24.716852
2000-02-08,16.164681,23.031339,15.919709,15.512633,14.838228,45.617629,19.699408,19.861577,24.989829
2000-02-09,15.784598,22.647056,15.778918,15.205763,14.838228,45.049989,19.045873,19.652752,24.543139
